Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_5,140.0,4.0,0,1,2,0.0,0.1114455619065318
Sample_5,140.0,4.0,0,1,2,0.01,0.1125614541445789
Sample_5,140.0,4.0,0,1,2,0.02,0.113679485744055
Sample_5,140.0,4.0,0,1,2,0.03,0.1147995145039198
Sample_5,140.0,4.0,0,1,2,0.04,0.1159213968848888
Sample_5,140.0,4.0,0,1,2,0.05,0.1170449880480291
Sample_5,140.0,4.0,0,1,2,0.06,0.1181701418940957
Sample_5,140.0,4.0,0,1,2,0.07,0.1192967111035945
Sample_5,140.0,4.0,0,1,2,0.08,0.1204245471775519
Sample_5,140.0,4.0,0,1,2,0.09,0.121553500478974
Sample_5,140.0,4.0,0,1,2,0.1,0.1226834202749757
Sample_5,140.0,4.0,0,1,2,0.11,0.1238141547795639
Sample_5,140.0,4.0,0,1,2,0.12,0.1249455511970508
Sample_5,140.0,4.0,0,1,2,0.13,0.1260774557660808
Sample_5,140.0,4.0,0,1,2,0.14,0.1272097138042471
Sample_5,140.0,4.0,0,1,2,0.15,0.1283421697532839
Sample_5,140.0,4.0,0,1,2,0.16,0.1294746672247982
Sample_5,140.0,4.0,0,1,2,0.17,0.1306070490465417
Sample_5,140.0,4.0,0,1,2,0.18,0.1317391573091761
Sample_5,140.0,4.0,0,1,2,0.19,0.1328708334135279
Sample_5,140.0,4.0,0,1,2,0.2,0.1340019181183001
Sample_5,140.0,4.0,0,1,2,0.21,0.1351322515882199
Sample_5,140.0,4.0,0,1,2,0.22,0.1362616734425999
Sample_5,140.0,4.0,0,1,2,0.23,0.1373900228042827
Sample_5,140.0,4.0,0,1,2,0.24,0.1385171383489567
Sample_5,140.0,4.0,0,1,2,0.25,0.1396428583548029
Sample_5,140.0,4.0,0,1,2,0.26,0.1407670207524604
Sample_5,140.0,4.0,0,1,2,0.27,0.1418894631752779
Sample_5,140.0,4.0,0,1,2,0.28,0.1430100230098283
Sample_5,140.0,4.0,0,1,2,0.29,0.1441285374466614
Sample_5,140.0,4.0,0,1,2,0.3,0.1452448435312665
Sample_5,140.0,4.0,0,1,2,0.31,0.146358778215219
Sample_5,140.0,4.0,0,1,2,0.32,0.1474701784074871
Sample_5,140.0,4.0,0,1,2,0.33,0.1485788810258694
Sample_5,140.0,4.0,0,1,2,0.34,0.1496847230485361
Sample_5,140.0,4.0,0,1,2,0.35,0.15078754156565
Sample_5,140.0,4.0,0,1,2,0.36,0.1518871738310396
Sample_5,140.0,4.0,0,1,2,0.37,0.1529834573138944
Sample_5,140.0,4.0,0,1,2,0.38,0.1540762297504555
Sample_5,140.0,4.0,0,1,2,0.39,0.1551653291956831
Sample_5,140.0,4.0,0,1,2,0.4,0.1562505940748578
Sample_5,140.0,4.0,0,1,2,0.41,0.1573318632351061
Sample_5,140.0,4.0,0,1,2,0.42,0.1584089759968081
Sample_5,140.0,4.0,0,1,2,0.43,0.1594817722048687
Sample_5,140.0,4.0,0,1,2,0.44,0.1605500922798243
Sample_5,140.0,4.0,0,1,2,0.45,0.1616137772687552
Sample_5,140.0,4.0,0,1,2,0.46,0.1626726688959803
Sample_5,140.0,4.0,0,1,2,0.47,0.1637266096135028
Sample_5,140.0,4.0,0,1,2,0.48,0.1647754426511867
