Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_7,140.0,2.0,1,1,2,0.0,1.842613640880755e-07
Sample_7,140.0,2.0,1,1,2,0.01,2.365489920590724e-07
Sample_7,140.0,2.0,1,1,2,0.02,3.028672668986081e-07
Sample_7,140.0,2.0,1,1,2,0.03,3.867491660974962e-07
Sample_7,140.0,2.0,1,1,2,0.04,4.925538473655263e-07
Sample_7,140.0,2.0,1,1,2,0.05,6.256434186288474e-07
Sample_7,140.0,2.0,1,1,2,0.06,7.925935217863361e-07
Sample_7,140.0,2.0,1,1,2,0.07,1.001443282657188e-06
Sample_7,140.0,2.0,1,1,2,0.08,1.261990896067133e-06
Sample_7,140.0,2.0,1,1,2,0.09,1.586141884861077e-06
Sample_7,140.0,2.0,1,1,2,0.1,1.9883178909275214e-06
Sample_7,140.0,2.0,1,1,2,0.11,2.485934719236247e-06
Sample_7,140.0,2.0,1,1,2,0.12,3.099959254373221e-06
Sample_7,140.0,2.0,1,1,2,0.13,3.85555579262004e-06
Sample_7,140.0,2.0,1,1,2,0.14,4.782833268165896e-06
Sample_7,140.0,2.0,1,1,2,0.15,5.917705783702868e-06
Sample_7,140.0,2.0,1,1,2,0.16,7.302879764769389e-06
Sample_7,140.0,2.0,1,1,2,0.17,8.988981922299778e-06
Sample_7,140.0,2.0,1,1,2,0.18,1.1035843004754736e-05
Sample_7,140.0,2.0,1,1,2,0.19,1.3513953023341544e-05
Sample_7,140.0,2.0,1,1,2,0.2,1.6506104212477133e-05
Sample_7,140.0,2.0,1,1,2,0.21,2.0109238412493984e-05
Sample_7,140.0,2.0,1,1,2,0.22,2.4436515801364292e-05
Sample_7,140.0,2.0,1,1,2,0.23,2.9619621925428165e-05
Sample_7,140.0,2.0,1,1,2,0.24,3.581132975499967e-05
Sample_7,140.0,2.0,1,1,2,0.25,4.318833299019868e-05
Sample_7,140.0,2.0,1,1,2,0.26,5.195436603919353e-05
Sample_7,140.0,2.0,1,1,2,0.27,6.23436249629194e-05
Sample_7,140.0,2.0,1,1,2,0.28,7.462450221011599e-05
Sample_7,140.0,2.0,1,1,2,0.29,8.910364614323244e-05
Sample_7,140.0,2.0,1,1,2,0.3,0.0001061303541756
Sample_7,140.0,2.0,1,1,2,0.31,0.0001261013058076
Sample_7,140.0,2.0,1,1,2,0.32,0.0001494656389769
Sample_7,140.0,2.0,1,1,2,0.33,0.0001767303699469
Sample_7,140.0,2.0,1,1,2,0.34,0.0002084661534785
Sample_7,140.0,2.0,1,1,2,0.35,0.0002453133762992
Sample_7,140.0,2.0,1,1,2,0.36,0.0002879885729487
Sample_7,140.0,2.0,1,1,2,0.37,0.0003372911489845
Sample_7,140.0,2.0,1,1,2,0.38,0.000394110392331
Sample_7,140.0,2.0,1,1,2,0.39,0.0004594327493019
Sample_7,140.0,2.0,1,1,2,0.4,0.0005343493375569
Sample_7,140.0,2.0,1,1,2,0.41,0.0006200636640247
Sample_7,140.0,2.0,1,1,2,0.42,0.0007178995116419
Sample_7,140.0,2.0,1,1,2,0.43,0.0008293089546517
Sample_7,140.0,2.0,1,1,2,0.44,0.0009558804581562
Sample_7,140.0,2.0,1,1,2,0.45,0.0010993470135919
Sample_7,140.0,2.0,1,1,2,0.46,0.00126159425775
Sample_7,140.0,2.0,1,1,2,0.47,0.0014446685187904
Sample_7,140.0,2.0,1,1,2,0.48,0.0016507847283031
Sample_7,140.0,2.0,1,1,2,0.49,0.0018823341337068
Sample_7,140.0,2.0,1,1,2,0.5,0.0021418917399725
Sample_7,140.0,2.0,1,1,2,0.51,0.0024322234036598
Sample_7,140.0,2.0,1,1,2,0.52,0.0027562924953433
