Sample,Set_Voltage_Mean,Set_Voltage_STD,Set_Voltage_Min,Set_Voltage_Max
Sample_A,2.9770454545454546,1.5977606599097676,-0.875,9.5
Sample_B,4.4258999999999995,2.9867444719654754,0.675,12.72
Sample_C,3.6471,1.8498568863563472,0.5,8.2
Sample_D,2.333060606060606,2.334146708715813,0.55,13.4
Sample_E,2.8081,2.4669766164807125,0.275,14.4
Sample_F,1.6142272727272726,1.0177760374157285,0.46,4.96
Sample_G,2.4916379310344827,0.7838788104708833,0.92,4.08
Sample_H,3.863130630630631,1.2963679670276287,1.0,6.76
